track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,popularity
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826.0,201,44,"6,551",2,0,0.8313092948441761,D,Major,-0.30036595810002076,1.5600607744588977,1.778344519582541,-0.9163986713510532,-0.19150181181757883,-0.6033365105138819,-0.24817870677703135,2
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893.0,221,96,"1,078",2,136,-0.26909886435929203,E,Minor,-2.2077482289919823,-1.6594237348367329,-2.1330547472081696,2.618281918145867,-0.19150181181757883,-0.6033365105138819,-0.7375789598704523,2
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503.0,25,59,32,5,88,0.19236262175829136,B,Major,0.7214459727349588,0.3315732643329333,0.03994484545333635,-0.6414790699457373,-0.19150181181757883,0.5781786359191826,-0.541818858633084,0
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746.0,10,126,7,0,148,0.2633566965456119,E,Minor,0.9939291542909533,0.75518964713499,1.157487493107825,-0.9163986713510532,-0.19150181181757883,0.6520233325712491,-0.541818858633084,0
OMG,NewJeans,1,2023,1,2,1783,27,430977451.0,26,124,15,1,22,0.1568655843646311,A,Minor,0.857687563512956,0.9669978385360183,0.7849732772229955,0.3796508781311507,-0.19150181181757883,-0.5294918138618154,-0.6396989092517682,1
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874.0,24,122,282,3,368,0.9732974444188172,D,Major,-1.7309026612689922,-1.3205306285950875,1.3437446010502399,-0.20946255345166928,-0.19150181181757883,-0.6771812071659484,-0.15029865615834714,1
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598.0,119,108,254,29,22,-0.020619602603670212,D,Minor,0.7214459727349588,-0.04968148018891764,-0.08422655984160685,0.026182819181458712,-0.19150181181757883,-0.6771812071659484,-0.541818858633084,2
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178.0,24,90,30,1,176,-0.127110714784651,C#,Minor,0.5170835865679628,-0.13440475674932897,-0.7050835863163228,-0.3272852397682333,-0.19150181181757883,-0.012578937297349671,2.296702609308758,1
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632.0,3,88,1,0,52,-0.4465840513275934,G,Minor,0.5852043819569615,1.898953880700543,0.4745447639856375,0.22255396304239872,-0.19150181181757883,-0.6771812071659484,-0.6396989092517682,0
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074.0,7,0,"2,094",0,0,-0.9790396122324974,G#,Major,-0.5047283442670166,-1.4476155434357045,-1.2017692074960955,-0.40583369731260927,-0.19150181181757883,-0.5294918138618154,-0.8354590104891365,2
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126.0,82,55,50,0,9,0.3343507713329324,F#,Major,-0.7772115258230112,-1.3205306285950875,-0.5809121810213796,0.7331189370808427,-0.0774394187933859,1.0212468158315817,-0.7375789598704523,2
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133.0,250,121,"2,969",10,31,0.08587150957731057,A#,Minor,0.6533251773459602,0.9669978385360183,0.8470589798704671,-0.8771244425788653,-0.19150181181757883,0.356644545962983,0.04546144507902125,2
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253.0,6,9,26,1,66,0.050374472183650314,D#,Minor,1.1301707450689507,0.5857430940141674,-0.8913406942587375,1.597151970068979,-0.19150181181757883,-0.3818024205576823,-0.4439388080143997,0
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641.0,5,2,30,2,66,0.3698478087265927,B,Minor,1.7432579035699383,0.7128280088547844,0.03994484545333635,0.6152962507642787,-0.19150181181757883,-0.4556471172097489,1.4157821537406001,0
Without Me,Eminem,1,2002,1,1,21081,43,1687664027.0,98,76,"3,889",5,0,-0.3755899765402728,G,Major,1.6751371081809396,0.6704663705745787,0.10203054810080794,-1.0342213576676174,-0.19150181181757883,1.316625602439848,-0.15029865615834714,2
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552.0,13,8,5,0,1,-1.1565247992007985,F,Minor,-0.5728491396560152,0.03504179637149369,-1.0155120995536808,0.45819933567552673,0.37881015330338585,-0.6033365105138819,0.04546144507902125,1
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788.0,71,113,99,13,28,-1.5114951731374013,D#,Minor,-0.16412436732202348,-1.023999160633648,0.2882876560432227,-0.7200275274901133,-0.19150181181757883,2.571985445524979,-0.6396989092517682,2
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494.0,107,69,"5,239",0,558,1.7542322670793429,A,Major,-1.526540275101996,-0.7698293309524139,-0.3325693704314932,-0.7985759850344893,-0.19150181181757883,-0.751025903818015,-0.7375789598704523,2
Those Eyes,New West,1,2019,5,10,1507,14,411747614.0,24,71,44,1,195,-0.09161367739099073,E,Major,-0.5047283442670166,-1.1510840754742648,-1.8226262339708115,1.832797342702107,-0.19150181181757883,0.9474021191795152,-0.7375789598704523,1
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395.0,7,71,4,2,13,0.6183270704822145,G,Minor,0.4489627911789642,1.898953880700543,0.9712303851654103,-0.3272852397682333,-0.19150181181757883,-0.9725599937742146,-0.541818858633084,1
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544.0,7,76,3,1,93,0.19236262175829136,A,Minor,0.9258083589019547,1.644784051019309,0.7849732772229955,-0.9949471288954292,-0.19150181181757883,-0.6771812071659484,-0.541818858633084,0
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632.0,14,88,66,3,72,1.3282678183554197,A,Major,0.10835881423397106,0.41629654089334467,0.4124590613381659,0.2618281918145867,-0.19150181181757883,0.9474021191795152,0.9263819006471791,1
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984.0,0,0,356,0,0,0.7603152200568556,F,Major,0.3808419957899656,1.517699136178692,0.3503733586906943,-0.7985759850344893,-0.19150181181757883,0.7258680292233156,-0.541818858633084,2
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275.0,4,14,12,5,56,2.4641730149525483,B,Major,-1.185936298157003,1.4329758596182807,-0.7671692889637944,-0.6022048411735493,-0.19150181181757883,0.7258680292233156,-0.4439388080143997,0
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183.0,179,97,"3,394",11,153,-0.020619602603670212,C#,Minor,-0.09600357193302485,-0.13440475674932897,0.4124590613381659,-0.7985759850344893,-0.19150181181757883,-0.4556471172097489,-0.6396989092517682,2
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885.0,19,143,10,6,15,0.547332995694894,G,Minor,0.7214459727349588,1.6024224127391034,1.157487493107825,-0.6414790699457373,-0.19150181181757883,-0.4556471172097489,-0.541818858633084,1
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350.0,433,107,"3,631",0,26,-0.659566275689555,C#,Major,0.6533251773459602,-0.642744416111797,-0.08422655984160685,-0.9949471288954292,-0.19150181181757883,1.316625602439848,-0.541818858633084,2
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989.0,24,101,113,0,40,1.4702559679300609,G#,Major,-1.526540275101996,-1.1510840754742648,-0.14631226248907844,-0.7200275274901133,-0.19150181181757883,-0.16026833060148274,-0.7375789598704523,1
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471.0,137,125,435,6,285,-1.475998135743741,B,Minor,0.040238018844972426,-0.0073198419087119725,-0.2704836677840216,-0.9163986713510532,-0.19150181181757883,0.06126575935471686,-0.05241860553966295,2
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737.0,211,74,929,0,129,-0.19810478957197153,C#,Major,0.9939291542909533,0.9246362002558126,-1.2017692074960955,1.0865869960305348,-0.19150181181757883,-0.8248706004700815,-0.7375789598704523,2
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830.0,70,82,939,1,162,1.8252263418666634,D,Major,-1.526540275101996,-1.7441470113971442,-1.6984548286758683,2.775378833234619,2.6600580137872445,3.384277108697711,-0.6396989092517682,2
